10/2021	2.21M	-2.51M	-53.2%
09/2021	4.72M	-956K	-16.8%
08/2021	5.68M	+1.34M	+31%
07/2021	4.33M	-2.88M	-39.9%
06/2021	7.21M	-3.70M	-33.9%
05/2021	10.9M	-8.52M	-43.9%
04/2021	19.4M	+2.16M	+12.5%
03/2021	17.3M	-2.25M	-11.5%
02/2021	19.5M	-11.7M	-37.5%
01/2021	31.2M	-19.1M	-37.9%
12/2020	50.3M	-26.7M	-34.7%
11/2020	77.0M	-32.6M	-29.7%
10/2020	110M	-37.2M	-25.4%
09/2020	147M	+116M	+380%
08/2020	30.6M	+26.4M	+634%
07/2020	4.16M	+4.04M	+3.4K%
06/2020	120K	-202K	-62.7%
05/2020	322K	+216K	+204%
04/2020	106K	+32.1K	+43.6%
03/2020	73.8K	+27.8K	+60.6%
